Epigenome ID	Epigenome Mnemonic	Roadmap Epigenome name	FANTOM tissue name	Nearest FANTOM tissue	FANTOM TSS IDs	FANTOM enhancer IDs	FANTOM enhancer
E017	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line		lung fetal donor1	CNhs11680	CNhs11680	yes
E002	ESC.WA7	ES-WA7 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E008	ESC.H9	H9 Cells	H9 Embryonic Stem cells		CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E001	ESC.I3	ES-I3 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E015	ESC.HUES6	HUES6 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E014	ESC.HUES48	HUES48 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E016	ESC.HUES64	HUES64 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E003	ESC.H1	H1 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E024	ESC.4STAR	ES-UCSF4 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E020	IPSC.20B	iPS-20b Cells		-	exclude	exclude	no
E019	IPSC.18	iPS-18 Cells		-	exclude	exclude	no
E018	IPSC.15b	iPS-15b Cells		-	exclude	exclude	no
E021	IPSC.DF.6.9	iPS DF 6.9 Cells		-	exclude	exclude	no
E022	IPSC.DF.19.11	iPS DF 19.11 Cells		-	exclude	exclude	no
E007	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells		Neural stem cells	CNhs11063,CNhs11384	CNhs11063,CNhs11384	yes
E009	ESDR.H9.NEUR.PROG	H9 Derived Neuronal Progenitor Cultured Cells		Neural stem cells	CNhs11063,CNhs11384	CNhs11063,CNhs11384	yes
