Column	MinTPM	Weight	FantomID	FantomInfo
8	0.1816784	5.50423	CNhs11051	tpm.Adipocyte%20-%20breast%2c%20donor1.CNhs11051.11376-118A8
9	0.2141005	4.6707	CNhs11969	tpm.Adipocyte%20-%20breast%2c%20donor2.CNhs11969.11327-117E4
10	0.1409544	7.09449	CNhs11054	tpm.Adipocyte%20-%20omental%2c%20donor1.CNhs11054.11473-119C6
11	1.000733	0.999268	CNhs12067	tpm.Adipocyte%20-%20omental%2c%20donor2.CNhs12067.11474-119C7
12	0.4469611	2.23733	CNhs12068	tpm.Adipocyte%20-%20omental%2c%20donor3.CNhs12068.11475-119C8
13	0.8723385	1.14634	CNhs12069	tpm.Adipocyte%20-%20perirenal%2c%20donor1.CNhs12069.11476-119C9
14	2.532999	0.394789	CNhs12494	tpm.Adipocyte%20-%20subcutaneous%2c%20donor1.CNhs12494.11259-116F8
15	0.6317199	1.58298	CNhs11371	tpm.Adipocyte%20-%20subcutaneous%2c%20donor2.CNhs11371.11336-117F4
16	0.2611856	3.82869	CNhs12017	tpm.Adipocyte%20-%20subcutaneous%2c%20donor3.CNhs12017.11408-118E4
17	0.2457339	4.06944	CNhs11325	tpm.Alveolar%20Epithelial%20Cells%2c%20donor1.CNhs11325.11510-119G7
18	0.6978012	1.43307	CNhs12084	tpm.Alveolar%20Epithelial%20Cells%2c%20donor2.CNhs12084.11590-120G6
19	0.2184414	4.57789	CNhs11341	tpm.Amniotic%20Epithelial%20Cells%2c%20donor1.CNhs11341.11533-120A3
20	0.263767	3.79122	CNhs12125	tpm.Amniotic%20Epithelial%20Cells%2c%20donor3.CNhs12125.11694-123A2
21	0.1237664	8.07974	CNhs10876	tpm.Anulus%20Pulposus%20Cell%2c%20donor1.CNhs10876.11248-116E6
22	0.3313974	3.01753	CNhs12064	tpm.Anulus%20Pulposus%20Cell%2c%20donor2.CNhs12064.11463-119B5
23	0.6723251	1.48738	CNhs13339	tpm.Aortic%20smooth%20muscle%20cell%20response%20to%20FGF2%2c%2000hr00min%2c%20biol_rep1%20%28LK1%29.CNhs13339.12642-134G5
24	0.6026945	1.65922	CNhs13358	tpm.Aortic%20smooth%20muscle%20cell%20response%20to%20FGF2%2c%2000hr00min%2c%20biol_rep2%20%28LK2%29.CNhs13358.12740-135I4
25	0.7303101	1.36928	CNhs13349	tpm.Aortic%20smooth%20muscle%20cell%20response%20to%20IL1b%2c%2000hr00min%2c%20biol_rep1%20%28LK31%29.CNhs13349.12652-134H6
26	0.4879328	2.04946	CNhs13369	tpm.Aortic%20smooth%20muscle%20cell%20response%20to%20IL1b%2c%2000hr00min%2c%20biol_rep2%20%28LK32%29.CNhs13369.12750-136A5
27	0.1231211	8.12208	CNhs11321	tpm.Astrocyte%20-%20cerebellum%2c%20donor1.CNhs11321.11500-119F6
28	0.2040007	4.90194	CNhs12081	tpm.Astrocyte%20-%20cerebellum%2c%20donor2.CNhs12081.11580-120F5
29	0.3134547	3.19025	CNhs12117	tpm.Astrocyte%20-%20cerebellum%2c%20donor3.CNhs12117.11661-122F5
30	0.286236	3.49362	CNhs10864	tpm.Astrocyte%20-%20cerebral%20cortex%2c%20donor1.CNhs10864.11235-116D2
31	0.1368744	7.30597	CNhs11960	tpm.Astrocyte%20-%20cerebral%20cortex%2c%20donor2.CNhs11960.11316-117D2
32	0.1255426	7.96542	CNhs12005	tpm.Astrocyte%20-%20cerebral%20cortex%2c%20donor3.CNhs12005.11392-118C6
33	0.07641341	13.0867	CNhs12331	tpm.B%20lymphoblastoid%20cell%20line%3a%20GM12878%20ENCODE%2c%20biol_rep1.CNhs12331.10821-111C2
34	0.08210059	12.1802	CNhs12332	tpm.B%20lymphoblastoid%20cell%20line%3a%20GM12878%20ENCODE%2c%20biol_rep2.CNhs12332.10822-111C3
35	0.07871078	12.7047	CNhs12333	tpm.B%20lymphoblastoid%20cell%20line%3a%20GM12878%20ENCODE%2c%20biol_rep3.CNhs12333.10823-111C4
36	0.3933643	2.54217	CNhs12546	tpm.Basophils%2c%20donor1.CNhs12546.12241-129G9
37	0.3838294	2.60532	CNhs12563	tpm.Basophils%2c%20donor2.CNhs12563.12242-129H1
38	0.1548161	6.45928	CNhs12575	tpm.Basophils%2c%20donor3.CNhs12575.12243-129H2
39	0.9194212	1.08764	CNhs12054	tpm.Bronchial%20Epithelial%20Cell%2c%20donor4.CNhs12054.11453-119A4
40	0.3012059	3.31999	CNhs12058	tpm.Bronchial%20Epithelial%20Cell%2c%20donor5.CNhs12058.11457-119A8
41	0.369754	2.7045	CNhs12062	tpm.Bronchial%20Epithelial%20Cell%2c%20donor6.CNhs12062.11461-119B3
42	0.0774672	12.9087	CNhs10739	tpm.Burkitt%27s%20lymphoma%20cell%20line%3aDAUDI.CNhs10739.10422-106C8
43	0.1421692	7.03387	CNhs11268	tpm.Burkitt%27s%20lymphoma%20cell%20line%3aRAJI.CNhs11268.10476-106I8
44	0.2936004	3.40599	CNhs12552	tpm.CD133%2b%20stem%20cells%20-%20adult%20bone%20marrow%20derived%2c%20pool1.CNhs12552.12224-129F1
45	0.5539954	1.80507	CNhs10852	tpm.CD14%2b%20Monocytes%2c%20donor1.CNhs10852.11224-116B9
46	0.2005444	4.98643	CNhs11954	tpm.CD14%2b%20Monocytes%2c%20donor2.CNhs11954.11305-117B9
47	0.2170109	4.60806	CNhs11997	tpm.CD14%2b%20Monocytes%2c%20donor3.CNhs11997.11381-118B4
48	0.2239155	4.46597	CNhs10858	tpm.CD14%2b%20monocyte%20derived%20endothelial%20progenitor%20cells%2c%20donor1.CNhs10858.11229-116C5
49	0.3238937	3.08743	CNhs11897	tpm.CD14%2b%20monocyte%20derived%20endothelial%20progenitor%20cells%2c%20donor2.CNhs11897.11310-117C5
50	0.2575756	3.88236	CNhs11904	tpm.CD14%2b%20monocyte%20derived%20endothelial%20progenitor%20cells%2c%20donor3.CNhs11904.11386-118B9
51	0.1453982	6.87766	CNhs13468	tpm.CD14%2b%20monocytes%20-%20mock%20treated%2c%20donor1.CNhs13468.11863-125A9
52	0.3778759	2.64637	CNhs13484	tpm.CD14%2b%20monocytes%20-%20mock%20treated%2c%20donor2.CNhs13484.11873-125C1
53	0.2425841	4.12228	CNhs13491	tpm.CD14%2b%20monocytes%20-%20mock%20treated%2c%20donor3.CNhs13491.11883-125D2
54	0.232429	4.30239	CNhs13474	tpm.CD14%2b%20monocytes%20-%20treated%20with%20B-glucan%2c%20donor1.CNhs13474.11869-125B6
55	0.4111679	2.4321	CNhs13489	tpm.CD14%2b%20monocytes%20-%20treated%20with%20B-glucan%2c%20donor2.CNhs13489.11879-125C7
56	0.3097064	3.22886	CNhs13495	tpm.CD14%2b%20monocytes%20-%20treated%20with%20B-glucan%2c%20donor3.CNhs13495.11889-125D8
57	0.2876924	3.47593	CNhs13465	tpm.CD14%2b%20monocytes%20-%20treated%20with%20BCG%2c%20donor1.CNhs13465.11860-125A6
58	0.2561607	3.9038	CNhs13475	tpm.CD14%2b%20monocytes%20-%20treated%20with%20BCG%2c%20donor2.CNhs13475.11870-125B7
59	0.2364822	4.22865	CNhs13543	tpm.CD14%2b%20monocytes%20-%20treated%20with%20BCG%2c%20donor3.CNhs13543.11880-125C8
60	0.3447457	2.90069	CNhs13473	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Candida%2c%20donor1.CNhs13473.11868-125B5
61	0.6454847	1.54922	CNhs13488	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Candida%2c%20donor2.CNhs13488.11878-125C6
62	1.354265	0.738408	CNhs13494	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Candida%2c%20donor3.CNhs13494.11888-125D7
63	0.1882423	5.3123	CNhs13472	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Cryptococcus%2c%20donor1.CNhs13472.11867-125B4
64	0.2729062	3.66426	CNhs13487	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Cryptococcus%2c%20donor2.CNhs13487.11877-125C5
65	0.2247235	4.44991	CNhs13546	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Cryptococcus%2c%20donor3.CNhs13546.11887-125D6
