Epigenome.ID	Group	SuperGroup	Epigenome.Mnemonic	Epigenome.shortName	Roadmap.Epigenome.name	FANTOM.tissue.name	Nearest.FANTOM.tissue	FANTOM.TSS.IDs	FANTOM.enhancer.IDs	FANTOM.enhancer
E001	ESC	ESC	ESC.I3	ESC-I3	ES-I3 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E002	ESC	ESC	ESC.WA7	ESC-WA7	ES-WA7 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E003	ESC	ESC	ESC.H1	ESC-H1	H1 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E006	ES-deriv	ESC	ESDR.H1.MSC	H1 MSCs	H1 Derived Mesenchymal Stem Cells	mesenchymal stem cell line:Hu5/E18		CNhs11718	CNhs11718	yes
E007	ES-deriv	Neuronal	ESDR.H1.NEUR.PROG	H1 NPCs	H1 Derived Neuronal Progenitor Cultured Cells		Neural stem cells	CNhs11063,CNhs11384	CNhs11063,CNhs11384	yes
E008	ESC	ESC	ESC.H9	ESC-H9	H9 Cells	H9 Embryonic Stem cells		CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E009	ES-deriv	Neuronal	ESDR.H9.NEUR.PROG	H9 NPCs	H9 Derived Neuronal Progenitor Cultured Cells		Neural stem cells	CNhs11063,CNhs11384	CNhs11063,CNhs11384	yes
E010	ES-deriv	Neuronal	ESDR.H9.NEUR	H9 neurons	H9 Derived Neuron Cultured Cells	iPS differentiation to neuron	-	CNhs13822,CNhs13826,CNhs13839	CNhs13822,CNhs13826,CNhs13839	Neurons;CNhs12338,CNhs12726,CNhs13815
E011	ES-deriv	ESC	ESDR.CD184.ENDO	endoderm cells	hESC Derived CD184+ Endoderm Cultured Cells		neuroectodermal tumor cell line	CNhs11744,CNhs11753	CNhs11744,CNhs11753	yes
E012	ES-deriv	ESC	ESDR.CD56.ECTO	ectoderm cells	hESC Derived CD56+ Ectoderm Cultured Cells		neuroectodermal tumor cell line	CNhs11744,CNhs11753	CNhs11744,CNhs11753	yes
E013	ES-deriv	ESC	ESDR.CD56.MESO	mesoderm cells	hESC Derived CD56+ Mesoderm Cultured Cells		mesodermal tumor cell line	CNhs12191	CNhs12191	no
E014	ESC	ESC	ESC.HUES48	ESC-HUES48	HUES48 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E015	ESC	ESC	ESC.HUES6	ESC-HUES6	HUES6 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E016	ESC	ESC	ESC.HUES64	ESC-HUES64	HUES64 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E017	IMR90	Other	LNG.IMR90	IMR90 lung	IMR90 fetal lung fibroblasts Cell Line		lung fetal donor1	CNhs11680	CNhs11680	yes
E023	Mesench	Adipose	FAT.MSC.DR.ADIP	adipocyte cells	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	Adipocyte - subcutaneous	Adipocyte - subcutaneous	CNhs11051,CNhs11969	CNhs11051,CNhs11969	yes
E024	ESC	ESC	ESC.4STAR	ESC-4STAR	ES-UCSF4 Cells		H9 Embryonic Stem cells	CNhs12824,CNhs12837	CNhs12824,CNhs12837	no
E025	Mesench	Adipose	FAT.ADIP.DR.MSC	adipose MSCs	Adipose Derived Mesenchymal Stem Cell Cultured Cells	Mesenchymal Stem Cells - adipose		CNhs11345,CNhs12922	CNhs11345,CNhs12922	yes
E026	Mesench	Bone	STRM.MRW.MSC	bone MSCs	Bone Marrow Derived Cultured Mesenchymal Stem Cells	Mesenchymal Stem Cells - bone marrow	mesenchymal precursor cell - bone marrow	CNhs12366,CNhs12367,CNhs13098	CNhs12366,CNhs12367,CNhs13098	yes
E027	Epithelial	Epithelial	BRST.MYO	breast myoepithelial	Breast Myoepithelial Primary Cells	Mammary Epithelial Cell		CNhs11077,CNhs11382,CNhs12032	CNhs11077,CNhs11382,CNhs12032	yes
E028	Epithelial	Epithelial	BRST.HMEC.35	breast vHMEC	Breast variant Human Mammary Epithelial Cells (vHMEC)	Mammary Epithelial Cell		CNhs11077,CNhs11382,CNhs12032	CNhs11077,CNhs11382,CNhs12032	yes
E029	HSC & B-cell	Immune	BLD.CD14.PC	primary monocytes	Primary monocytes from peripheral blood	CD14+ Monocytes	CD14+CD16+ Monocytes;CD14+CD16- Monocytes	CNhs10852,CNhs11954,CNhs11997	CNhs10852,CNhs11954,CNhs11997	yes
E030	HSC & B-cell	Immune	BLD.CD15.PC	primary neutrophils	Primary neutrophils from peripheral blood	Neutrophils		CNhs10862,CNhs11959,CNhs11905	CNhs10862,CNhs11959,CNhs11905	yes
E031	HSC & B-cell	Immune	BLD.CD19.CPC	primary B cells-cord bl	Primary B cells from cord blood	CD19+ B Cells		CNhs12343,CNhs12352,CNhs12354	CNhs12343,CNhs12352,CNhs12354	yes
E032	HSC & B-cell	Immune	BLD.CD19.PPC	primary B cells	Primary B cells from peripheral blood	CD19+ B Cells		CNhs12343,CNhs12352,CNhs12354	CNhs12343,CNhs12352,CNhs12354	yes
E033	Blood & T-cell	Immune	BLD.CD3.CPC	pimary T cells-cord bl	Primary T cells from cord blood	CD8+ T Cells / CD4+ T Cells		CNhs10854,CNhs11956,CNhs11999,CNhs10853,CNhs11955,CNhs11998	CNhs10854,CNhs11956,CNhs11999,CNhs10853,CNhs11955,CNhs11998	yes
E034	Blood & T-cell	Immune	BLD.CD3.PPC	primary T cells	Primary T cells from peripheral blood	CD8+ T Cells / CD4+ T Cells		CNhs10854,CNhs11956,CNhs11999,CNhs10853,CNhs11955,CNhs11998	CNhs10854,CNhs11956,CNhs11999,CNhs10853,CNhs11955,CNhs11998	yes
E035	HSC & B-cell	Immune	BLD.CD34.PC	primary HSCs	Primary hematopoietic stem cells	CD34+ stem cells - adult bone marrow derived		CNhs12588	CNhs12588	yes
E036	HSC & B-cell	Immune	BLD.CD34.CC	primary HSCs	Primary hematopoietic stem cells short term culture		CD34+ stem cells - adult bone marrow derived	CNhs12588	CNhs12588	
E037	Blood & T-cell	Immune	BLD.CD4.MPC	primary Th memory	Primary T helper memory cells from peripheral blood 2	CD4+CD25-CD45RA- memory conventional T cells		CNhs13539,CNhs13215	CNhs13539,CNhs13215	yes
E038	Blood & T-cell	Immune	BLD.CD4.NPC	primary Th naive	Primary T helper naive cells from peripheral blood	CD4+CD25-CD45RA+ naive conventional T cells		CNhs13223,CNhs13205,CNhs13512	CNhs13223,CNhs13205,CNhs13512	yes
E039	Blood & T-cell	Immune	BLD.CD4.CD25M.CD45RA.NPC	primary Th naive	Primary T helper naive cells from peripheral blood	CD4+CD25-CD45RA+ naive conventional T cells		CNhs13223,CNhs13205,CNhs13512	CNhs13223,CNhs13205,CNhs13512	yes
E040	Blood & T-cell	Immune	BLD.CD4.CD25M.CD45RO.MPC	primary Th memory	Primary T helper memory cells from peripheral blood 1	CD4+CD25-CD45RA- memory conventional T cells		CNhs13539,CNhs13215	CNhs13539,CNhs13215	yes
E041	Blood & T-cell	Immune	BLD.CD4.CD25M.IL17M.PL.TPC	primary Th-PMA-stim	Primary T helper cells PMA-I stimulated		CD4+CD25-CD45RA+ naive conventional T cells	CNhs13223,CNhs13205,CNhs13512	CNhs13223,CNhs13205,CNhs13512	
E042	Blood & T-cell	Immune	BLD.CD4.CD25M.IL17P.PL.TPC	primary Th17-PMA-stim	Primary T helper 17 cells PMA-I stimulated		CD4+CD25-CD45RA+ naive conventional T cells	CNhs13223,CNhs13205,CNhs13512	CNhs13223,CNhs13205,CNhs13512	
E044	Blood & T-cell	Immune	BLD.CD4.CD25.CD127M.TREGPC	primary Treg	Primary T regulatory cells from peripheral blood	CD4+CD25+CD45RA- memory regulatory T cells		CNhs13195,CNhs13206,CNhs13538,CNhs13204,CNhs13811,CNhs13812	CNhs13195,CNhs13206,CNhs13538,CNhs13204,CNhs13811,CNhs13812	yes
E045	Blood & T-cell	Immune	BLD.CD4.CD25I.CD127.TMEMPC	primary T effector	Primary T cells effector/memory enriched from peripheral blood	CD4+CD25-CD45RA- memory conventional T cells		CNhs13539,CNhs13215	CNhs13539,CNhs13215	yes
E046	HSC & B-cell	Immune	BLD.CD56.PC	primary NK cells	Primary Natural Killer cells from peripheral blood	Natural Killer Cells		CNhs10859,CNhs11957,CNhs12001	CNhs10859,CNhs11957,CNhs12001	yes
E047	Blood & T-cell	Immune	BLD.CD8.NPC	primary T CD8+ naive	Primary T CD8+ naive cells from peripheral blood	CD8+ T Cells		CNhs10854,CNhs11956,CNhs11999	CNhs10854,CNhs11956,CNhs11999	yes
E048	Blood & T-cell	Immune	BLD.CD8.MPC	primary T CD8+ mem	Primary T CD8+ memory cells from peripheral blood	CD8+ T Cells		CNhs10854,CNhs11956,CNhs11999	CNhs10854,CNhs11956,CNhs11999	yes
